"TERYT","POPULACJA","YEAR","APPROX_PERCENTAGE"
"020806",19794,2005,0.495590523949508
"020806",19794,2005,0.504409476050492
"020807",17236,2005,0.676928715411399
"020807",17236,2005,0.323071284588601
"020808",8791,2005,0.566758566364711
"020808",8791,2005,0.433241433635289
"020809",1990,2005,0.454926624737945
"020809",1990,2005,0.545073375262054
"020810",7570,2005,0.501251877816726
"020810",7570,2005,0.498748122183274
"020811",12212,2005,0.492905405405406
"020811",12212,2005,0.507094594594594
"020812",9448,2005,0.453210239194291
"020812",9448,2005,0.546789760805709
"020813",7801,2005,0.579836233367452
"020813",7801,2005,0.420163766632548
"020814",7514,2005,0.655963302752293
"020814",7514,2005,0.344036697247707
"020901",14285,2005,0.480958721704394
"020901",14285,2005,0.519041278295606
"020902",9475,2005,0.301487156376747
"020902",9475,2005,0.698512843623253
"020903",3192,2005,0.264742785445421
"020903",3192,2005,0.735257214554579
"020904",6021,2005,0.540850776502363
"020904",6021,2005,0.459149223497637
"020905",5172,2005,0.445510026155188
"020905",5172,2005,0.554489973844812
"020906",6322,2005,0.420952380952381
"020906",6322,2005,0.579047619047619
"020907",7544,2005,0.640921409214092
"020907",7544,2005,0.359078590785908
"020908",2733,2005,0.350769230769231
"020908",2733,2005,0.649230769230769
"021001",22223,2005,0.52481644640235
"021001",22223,2005,0.47518355359765
"021002",4452,2005,0.532293986636971
"021002",4452,2005,0.467706013363029
"021003",10566,2005,0.473988439306357
"021003",10566,2005,0.526011560693643
"021004",6532,2005,0.389149363697254
"021004",6532,2005,0.610850636302746
"021005",6676,2005,0.557046979865772
"021005",6676,2005,0.442953020134228
"021006",1673,2005,0.400835073068894
"021006",1673,2005,0.599164926931106
"021007",4610,2005,0.421265141318977
"021007",4610,2005,0.578734858681023
"021101",75147,2005,0.581552214546932
"021101",75147,2005,0.418447785453068
"021102",13750,2005,0.594805194805194
"021102",13750,2005,0.405194805194806
"021103",7569,2005,0.575274177467596
"021103",7569,2005,0.424725822532404
"021104",10500,2005,0.433320881583861
"021104",10500,2005,0.566679118416139
"021201",10218,2005,0.614672100778067
"021201",10218,2005,0.385327899221933
"021202",6228,2005,0.543218085106383
"021202",6228,2005,0.456781914893617
"021203",18049,2005,0.515276820583506
"021203",18049,2005,0.484723179416494
"021204",8969,2005,0.493500240731825
"021204",8969,2005,0.506499759268175
"021205",4413,2005,0.488530161427358
"021205",4413,2005,0.511469838572642
"021301",4704,2005,0.465617232808616
